id,name,price,stock,type
3031,Yamaha ANC,8299,3,Earphone
3032,Anker Soundcore Life  A2 NC,2149,6,Earphone
3033,Jabra Elite 4 Active,2549,5,Earphone
3034,Jabra Talk SE,799,12,Earphone
3035,Beats Studio Buds,3989,9,Earphone
3036,Beats Studio3 Wireless,8999,10,Earphone
3037,Beats Solo3 Wireless ,5769,5,Earphone
3038,Beats Fit Pro,5445,4,Earphone
3039,Jabra Talk 45 ,1599,7,Earphone
3040,Samsung Buds2 Pro R510,6299,13,Earphone
3041,Jabra Connect 4h,2499,2,Earphone
3042,Apple AirPods Pro,7049,4,Earphone
3043,Jabra Elite 7 Active ANC,5499,7,Earphone
3044,Apple AirPods Max,16995,17,Earphone
3045,Powerbeats Pro,4999,3,Earphone
3046,Razer Kraken V3 X,1499,1,Earphone
3047,Razer Barracuda X,2499,6,Earphone
3048,Razer BlackShark V2 Pro,3799,9,Earphone
