ID,name,price,stock,type
1001,Fernleaf Milk Powder Full Cream 2.6 kg X 150 Unit,112999,130,beverage
1002,UCC Drip Coffee 7 g X 75-Count X 162-Case,107729,248,beverage
1003,Barista Premium Drip Coffee 12 g X 50 Count X 144 Unit,99999,294,beverage
1004,Swiss Miss Rich Chocolate 1.98 kg X 252-Unit,89999,496,beverage
1005,Barista 3-in-1 Latte 21 g X 100 Count X 120 Unit,79995,358,beverage
1006,Barista 2 In 1 Rich Latte 21 g X 100 Count X 120 Unit,79995,142,beverage
1007,Swiss Miss Dark Chocolate 31 g X 50 Count X 208 Unit,69999,468,beverage
1008,Calbee Fruit Granola 1 kg X 216-Unit,66999,141,beverage
1009,Barista Yorkshire Milk Tea 25 g X 100 Count X 120 Unit,59999,366,beverage
1010,Swiss Miss Hot Cocoa 28 g X 60 Count X 160 Unit,52999,324,beverage
