ID,name,price,storage,type
2014,Sweatpants,250,46,Winter
2027,Sweatshirts,400,57,Winter
2035,Down Jacket ,450,8,Winter
2045,Full length grey wool coat ,200,43,Winter
2004,Full length lined trench coat ,500,29,Winter
2003,Ski bibs,450,9,Winter
2026,Ski pants ,550,7,Winter
2036,Ski suit one piece,250,15,Winter
2031,Ski gloves,500,20,Winter
2013,Ear muffs-polyester,450,31,Winter
2008,Ear muffs-cotton,550,25,Winter
2050,Ear muffs-double layer,200,63,Winter
2017,Full length down coat-fur hood,500,4,Winter
2021,Full length down coat-grey,350,67,Winter
2019,Berets,550,32,Winter
2006,Scarf,250,34,Winter
2034,Wool sweater,350,37,Winter
2054,Beanie,250,10,Winter
